Team,Rank,P,M,W,D,L,G,GA,GD
AC Milan,1,86,38,26,8,4,69,31,38
Inter Milan,2,84,38,25,9,4,84,32,52
Napoli,3,79,38,24,7,7,74,31,43
Juventus,4,70,38,20,10,8,57,37,20
Lazio,5,64,38,18,10,10,77,58,19
Roma,6,63,38,18,9,11,59,43,16
Fiorentina,7,62,38,19,5,14,59,51,8
Atalanta,8,59,38,16,11,11,65,48,17
Verona,9,53,38,14,11,13,65,59,6
Torino,10,50,38,13,11,14,46,41,5
Sassuolo,11,50,38,13,11,14,64,66,-2
Udinese,12,47,38,11,14,13,61,58,3
Bologna,13,46,38,12,10,16,44,55,-11
Empoli,14,41,38,10,11,17,50,70,-20
Sampdoria,15,36,38,10,6,22,46,63,-17
Spezia,16,36,38,10,6,22,41,71,-30
Salernitana,17,31,38,7,10,21,33,78,-45
Cagliari,18,30,38,6,12,20,34,68,-34
Genoa,19,28,38,4,16,18,27,60,-33
Venezia,20,27,38,6,9,23,34,69,-35
